Set	Position	Affiliation	Faction	Name	Type	1d Cost	2d Cost	Min Cost	Max Cost	Rarity
Awakenings	1	Villain	Command	Captain Phasma	Character	12	15	12	15	Legendary
Awakenings	2	Villain	Command	First Order Stormtrooper	Character	7		7	7	Rare
Awakenings	3	Villain	Command	General Grievous	Character	13	18	13	18	Rare
Awakenings	4	Villain	Command	General Veers	Character	11	14	11	14	Rare
Awakenings	5	Villain	Command	AT-ST	Support					Legendary
Awakenings	6	Villain	Command	First Order TIE Fighter	Support					Rare
Awakenings	7	Villain	Command	Commanding Presence	Upgrade					Legendary
Awakenings	8	Villain	Command	F-11D Rifle	Upgrade					Starter
Awakenings	9	Villain	Force	Count Dooku	Character	11	15	11	15	Rare
Awakenings	10	Villain	Force	Darth Vader	Character	16	21	16	21	Legendary
Awakenings	11	Villain	Force	Kylo Ren	Character	10	13	10	13	Starter
Awakenings	12	Villain	Force	Nightsister	Character	8		8	8	Rare
Awakenings	13	Villain	Force	Force Choke	Upgrade					Legendary
Awakenings	14	Villain	Force	Immobilize	Upgrade					Rare
Awakenings	15	Villain	Force	Kylo Ren's Lightsaber	Upgrade					Legendary
Awakenings	16	Villain	Force	Sith Holocron	Upgrade					Rare
Awakenings	17	Villain	General	Infantry Grenades	Upgrade					Rare
Awakenings	18	Villain	General	Speeder Bike Scout	Support					Rare
Awakenings	19	Villain	Rogue	Bala-Tik	Character	8	11	8	11	Rare
Awakenings	20	Villain	Rogue	Jabba the Hutt	Character	11	14	11	14	Legendary
Awakenings	21	Villain	Rogue	Jango Fett	Character	12	16	12	16	Rare
Awakenings	22	Villain	Rogue	Tusken Raider	Character	9		9	9	Rare
Awakenings	23	Villain	Rogue	Crime Lord	Upgrade					Legendary
Awakenings	24	Villain	Rogue	Flame Thrower	Upgrade					Rare
Awakenings	25	Villain	Rogue	Gaffi Stick	Upgrade					Rare
Awakenings	26	Villain	Rogue	On The Hunt	Upgrade					Rare
Awakenings	27	Hero	Command	Admiral Ackbar	Character	10	14	10	14	Rare
Awakenings	28	Hero	Command	Leia Organa	Character	12	16	12	16	Rare
Awakenings	29	Hero	Command	Poe Dameron	Character	16	20	16	20	Legendary
Awakenings	30	Hero	Command	Rebel Trooper	Character	8		8	8	Rare
Awakenings	31	Hero	Command	Launch Bay	Support					Legendary
Awakenings	32	Hero	Command	Black One	Support					Legendary
Awakenings	33	Hero	Command	Scout	Upgrade					Rare
Awakenings	34	Hero	Command	Survival Gear	Upgrade					Rare
Awakenings	35	Hero	Force	Luke Skywalker	Character	15	20	15	20	Legendary
Awakenings	36	Hero	Force	Padawan	Character	8		8	8	Rare
Awakenings	37	Hero	Force	Qui-Gon Jinn	Character	13	17	13	17	Rare
Awakenings	38	Hero	Force	Rey	Character	9	12	9	12	Starter
Awakenings	39	Hero	Force	Force Protection	Upgrade					Rare
Awakenings	40	Hero	Force	Jedi Robes	Upgrade					Rare
Awakenings	41	Hero	Force	Luke Skywalker's Lightsaber	Upgrade					Legendary
Awakenings	42	Hero	Force	One With The Force	Upgrade					Legendary
Awakenings	43	Hero	General	BB-8	Support					Rare
Awakenings	44	Hero	General	Rey's Staff	Upgrade					Rare
Awakenings	45	Hero	Rogue	Finn	Character	13	16	13	16	Starter
Awakenings	46	Hero	Rogue	Han Solo	Character	14	18	14	18	Legendary
Awakenings	47	Hero	Rogue	Hired Gun	Character	8		8	8	Rare
Awakenings	48	Hero	Rogue	Padme Amidala	Character	10	14	10	14	Rare
Awakenings	49	Hero	Rogue	Millennium Falcon	Support					Legendary
Awakenings	50	Hero	Rogue	Diplomatic Immunity	Upgrade					Rare
Awakenings	51	Hero	Rogue	DL-44 Heavy Blaster Pistol	Upgrade					Rare
Awakenings	52	Hero	Rogue	Infiltrate	Upgrade					Rare
Awakenings	53	Neutral	Command	Outpost	Support					Rare
Awakenings	54	Neutral	Command	DH-17 Blaster Pistol	Upgrade					Rare
Awakenings	55	Neutral	Command	IQA-11 Blaster Rifle	Upgrade					Rare
Awakenings	56	Neutral	Command	Promotion	Upgrade					Rare
Awakenings	57	Neutral	Force	Force Throw	Upgrade					Starter
Awakenings	58	Neutral	Force	Force Training	Upgrade					Rare
Awakenings	59	Neutral	Force	Lightsaber	Upgrade					Starter
Awakenings	60	Neutral	Force	Mind Probe	Upgrade					Starter
Awakenings	61	Neutral	General	Comlink	Upgrade					Rare
Awakenings	62	Neutral	General	Datapad	Upgrade					Rare
Awakenings	63	Neutral	General	Holdout Blaster	Upgrade					Rare
Awakenings	64	Neutral	Rogue	Black Market	Support					Rare
Awakenings	65	Neutral	Rogue	Cunning	Upgrade					Rare
Awakenings	66	Neutral	Rogue	Jetpack	Upgrade					Rare
Awakenings	67	Neutral	Rogue	Thermal Detonator	Upgrade					Legendary
Awakenings	68	Villain	Command	Cannon Fodder	Event					Common
Awakenings	69	Villain	Command	Closing the Net	Event					Common
Awakenings	70	Villain	Command	Endless Ranks	Event					Uncommon
Awakenings	71	Villain	Command	Occupation	Event					Common
Awakenings	72	Villain	Command	Probe	Event					Common
Awakenings	73	Villain	Command	Sweep the Area	Event					Common
Awakenings	74	Villain	Command	Tactical Mastery	Event					Uncommon
Awakenings	75	Villain	Command	The Best Defense...	Event					Uncommon
Awakenings	76	Villain	Command	Drudge Work	Support					Common
Awakenings	77	Villain	Command	Local Garrison	Support					Uncommon
Awakenings	78	Villain	Command	Personal Escort	Upgrade					Common
Awakenings	79	Villain	Force	Abandon All Hope	Event					Uncommon
Awakenings	80	Villain	Force	Boundless Ambition	Event					Common
Awakenings	81	Villain	Force	Enrage	Event					Common
Awakenings	82	Villain	Force	Feel Your Anger	Event					Common
Awakenings	83	Villain	Force	Force Strike	Event					Uncommon
Awakenings	84	Villain	Force	Intimidate	Event					Common
Awakenings	85	Villain	Force	Isolation	Event					Common
Awakenings	86	Villain	Force	No Mercy	Event					Uncommon
Awakenings	87	Villain	Force	Pulling the Strings	Event					Common
Awakenings	88	Villain	Force	Emperor's Favor	Support					Uncommon
Awakenings	89	Villain	Force	Power of the Dark Side	Support					Starter
Awakenings	90	Villain	Force	Hidden In Shadow	Upgrade					Uncommon
Awakenings	91	Villain	General	Nowhere to Run	Event					Uncommon
Awakenings	92	Villain	Rogue	Ace in the Hole	Event					Uncommon
Awakenings	93	Villain	Rogue	Armed to the Teeth	Event					Common
Awakenings	94	Villain	Rogue	Confiscation	Event					Uncommon
Awakenings	95	Villain	Rogue	Fight Dirty	Event					Uncommon
Awakenings	96	Villain	Rogue	Go for the Kill	Event					Common
Awakenings	97	Villain	Rogue	He Doesn't Like You	Event					Common
Awakenings	98	Villain	Rogue	Lying in Wait	Event					Common
Awakenings	99	Villain	Rogue	Backup Muscle	Support					Common
Awakenings	100	Villain	Rogue	My Kind of Scum	Support					Common
Awakenings	101	Villain	Rogue	Underworld Connections	Support					Uncommon
Awakenings	102	Villain	Rogue	Prized Possession	Upgrade					Uncommon
Awakenings	103	Hero	Command	Commando Raid	Event					Uncommon
Awakenings	104	Hero	Command	Defensive Position	Event					Common
Awakenings	105	Hero	Command	Field Medic	Event					Common
Awakenings	106	Hero	Command	Hit and Run	Event					Common
Awakenings	107	Hero	Command	It's a Trap!	Event					Uncommon
Awakenings	108	Hero	Command	Natural Talent	Event					Common
Awakenings	109	Hero	Command	Rearm	Event					Uncommon
Awakenings	110	Hero	Command	Retreat	Event					Uncommon
Awakenings	111	Hero	Command	Strategic Planning	Event					Common
Awakenings	112	Hero	Command	Surgical Strike	Event					Common
Awakenings	113	Hero	Command	Resistance HQ	Support					Uncommon
Awakenings	114	Hero	Force	Anticipate	Event					Uncommon
Awakenings	115	Hero	Force	Defensive Stance	Event					Common
Awakenings	116	Hero	Force	Force Misdirection	Event					Common
Awakenings	117	Hero	Force	Heroism	Event					Common
Awakenings	118	Hero	Force	Noble Sacrifice	Event					Common
Awakenings	119	Hero	Force	Patience	Event					Common
Awakenings	120	Hero	Force	Return of the Jedi	Event					Uncommon
Awakenings	121	Hero	Force	Riposte	Event					Common
Awakenings	122	Hero	Force	Willpower	Event					Uncommon
Awakenings	123	Hero	Force	Jedi Council	Support					Uncommon
Awakenings	124	Hero	Force	Awakening	Support					Starter
Awakenings	125	Hero	Force	The Force is Strong	Support					Common
Awakenings	126	Hero	General	Daring Escape	Event					Uncommon
Awakenings	127	Hero	Rogue	Don't Get Cocky	Event					Common
Awakenings	128	Hero	Rogue	Draw Attention	Event					Common
Awakenings	129	Hero	Rogue	Hyperspace Jump	Event					Uncommon
Awakenings	130	Hero	Rogue	Let The Wookiee Win	Event					Uncommon
Awakenings	131	Hero	Rogue	Negotiate	Event					Common
Awakenings	132	Hero	Rogue	Scavenge	Event					Common
Awakenings	133	Hero	Rogue	Shoot First	Event					Uncommon
Awakenings	134	Hero	Rogue	Smuggling	Event					Common
Awakenings	135	Hero	Rogue	Play the Odds	Support					Uncommon
Awakenings	136	Hero	Rogue	Street Informants	Support					Common
Awakenings	137	Hero	Rogue	Second Chance	Upgrade					Uncommon
Awakenings	138	Neutral	Command	Award Ceremony	Event					Common
Awakenings	139	Neutral	Command	Dug in	Event					Uncommon
Awakenings	140	Neutral	Command	Firepower	Event					Common
Awakenings	141	Neutral	Command	Leadership	Event					Uncommon
Awakenings	142	Neutral	Command	Logistics	Event					Common
Awakenings	143	Neutral	Command	Squad Tactics	Event					Common
Awakenings	144	Neutral	Command	Supporting Fire	Support					Uncommon
Awakenings	145	Neutral	Force	Deflect	Event					Common
Awakenings	146	Neutral	Force	Disturbance in the Force	Event					Common
Awakenings	147	Neutral	Force	Mind Trick	Event					Uncommon
Awakenings	148	Neutral	Force	The Power of the Force	Event					Common
Awakenings	149	Neutral	Force	Use The Force	Event					Starter
Awakenings	150	Neutral	Force	It Binds All Things	Support					Uncommon
Awakenings	151	Neutral	General	Aim	Event					Starter
Awakenings	152	Neutral	General	All In	Event					Uncommon
Awakenings	153	Neutral	General	Block	Event					Common
Awakenings	154	Neutral	General	Close Quarters Assault	Event					Starter
Awakenings	155	Neutral	General	Dodge	Event					Common
Awakenings	156	Neutral	General	Flank	Event					Uncommon
Awakenings	157	Neutral	General	Take Cover	Event					Common
Awakenings	158	Neutral	Rogue	Disarm	Event					Common
Awakenings	159	Neutral	Rogue	Electroshock	Event					Uncommon
Awakenings	160	Neutral	Rogue	Reversal	Event					Uncommon
Awakenings	161	Neutral	Rogue	Scramble	Event					Common
Awakenings	162	Neutral	Rogue	Unpredictable	Event					Common
Awakenings	163	Neutral	Rogue	Infamous	Support					Uncommon
Awakenings	164	Neutral	Rogue	Hunker Down	Upgrade					Common
Awakenings	165	Neutral	General	Command Center	Battlefield					Uncommon
Awakenings	166	Neutral	General	Echo Base	Battlefield					Uncommon
Awakenings	167	Neutral	General	Emperor's Throne Room	Battlefield					Uncommon
Awakenings	168	Neutral	General	Frozen Wastes	Battlefield					Starter
Awakenings	169	Neutral	General	Imperial Armory	Battlefield					Common
Awakenings	170	Neutral	General	Jedi Temple	Battlefield					Common
Awakenings	171	Neutral	General	Rebel War Room	Battlefield					Common
Awakenings	172	Neutral	General	Mos Eisley Spaceport	Battlefield					Common
Awakenings	173	Neutral	General	Separatist Base	Battlefield					Common
Awakenings	174	Neutral	General	Starship Graveyard	Battlefield					Starter
Spirit of Rebellion	1	Villain	Command	Death Trooper	Character	10		10	10	Rare
Spirit of Rebellion	2	Villain	Command	FN-2199	Character	12	15	12	15	Rare
Spirit of Rebellion	3	Villain	Command	Director Krennic	Character	15	19	15	19	Legendary
Spirit of Rebellion	4	Villain	Command	Tie Pilot	Character	8		8	8	Rare
Spirit of Rebellion	5	Villain	Command	E-Web Emplacement	Support					Rare
Spirit of Rebellion	6	Villain	Command	Imperial Discipline	Upgrade					Rare
Spirit of Rebellion	7	Villain	Command	DT-29 Heavy Blaster Pistol	Upgrade					Rare
Spirit of Rebellion	8	Villain	Command	Z6 Riot Control Baton	Upgrade					Legendary
Spirit of Rebellion	9	Villain	Force	Asajj Ventress	Character	12	15	12	15	Rare
Spirit of Rebellion	10	Villain	Force	Darth Vader	Character	13	17	13	17	Rare
Spirit of Rebellion	11	Villain	Force	Palpatine	Character	21	28	21	28	Legendary
Spirit of Rebellion	12	Villain	Force	Royal Guard	Character	9		9	9	Rare
Spirit of Rebellion	13	Villain	Force	Command Shuttle	Support					Rare
Spirit of Rebellion	14	Villain	Force	Force Lightning	Upgrade					Legendary
Spirit of Rebellion	15	Villain	Force	Lightsaber Pike	Upgrade					Rare
Spirit of Rebellion	16	Villain	Force	Lure of Power	Upgrade					Rare
Spirit of Rebellion	17	Villain	General	Interrogation Droid	Support					Rare
Spirit of Rebellion	18	Villain	Rogue	Aurra Sing	Character	14	18	14	18	Rare
Spirit of Rebellion	19	Villain	Rogue	Guavian Enforcer	Character	8		8	8	Rare
Spirit of Rebellion	20	Villain	Rogue	IG-88	Character	15	20	15	20	Legendary
Spirit of Rebellion	21	Villain	Rogue	Unkar Plutt	Character	12	15	12	15	Rare
Spirit of Rebellion	22	Villain	Rogue	Slave I	Support					Legendary
Spirit of Rebellion	23	Villain	Rogue	Blackmail	Upgrade					Legendary
Spirit of Rebellion	24	Villain	Rogue	Personal Shield	Upgrade					Rare
Spirit of Rebellion	25	Villain	Rogue	Vibroknucklers	Upgrade					Rare
Spirit of Rebellion	26	Hero	Command	Baze Malbus	Character	14	18	14	18	Legendary
Spirit of Rebellion	27	Hero	Command	Mon Mothma	Character	11	14	11	14	Rare
Spirit of Rebellion	28	Hero	Command	Rebel Commando	Character	10		10	10	Rare
Spirit of Rebellion	29	Hero	Command	Temmin "Snap" Wexley	Character	9	12	9	12	Rare
Spirit of Rebellion	30	Hero	Command	C-3PO	Support					Rare
Spirit of Rebellion	31	Hero	Command	U-Wing	Support					Legendary
Spirit of Rebellion	32	Hero	Command	A180 Blaster	Upgrade					Rare
Spirit of Rebellion	33	Hero	Command	Overkill	Upgrade					Rare
Spirit of Rebellion	34	Hero	Force	Jedi Acolyte	Character	9		9	9	Rare
Spirit of Rebellion	35	Hero	Force	Chirrut ÃŽmwe	Character	12	16	12	16	Rare
Spirit of Rebellion	36	Hero	Force	Luminara Unduli	Character	13	17	13	17	Rare
Spirit of Rebellion	37	Hero	Force	Obi-Wan Kenobi	Character	16	20	16	20	Legendary
Spirit of Rebellion	38	Hero	Force	Delta-7 Interceptor	Support					Rare
Spirit of Rebellion	39	Hero	Force	Handcrafted Light Bow	Upgrade					Legendary
Spirit of Rebellion	40	Hero	Force	Force Heal	Upgrade					Rare
Spirit of Rebellion	41	Hero	Force	Journals of Ben Kenobi	Upgrade					Rare
Spirit of Rebellion	42	Hero	General	R2-D2	Support					Rare
Spirit of Rebellion	43	Hero	Rogue	Chewbacca	Character	12	16	12	16	Legendary
Spirit of Rebellion	44	Hero	Rogue	Jyn Erso	Character	15	20	15	20	Rare
Spirit of Rebellion	45	Hero	Rogue	Maz Kanata	Character	8	11	8	11	Rare
Spirit of Rebellion	46	Hero	Rogue	Outer Rim Smuggler	Character	8		8	8	Rare
Spirit of Rebellion	47	Hero	Rogue	Smuggling Freighter	Support					Rare
Spirit of Rebellion	48	Hero	Rogue	Bowcaster	Upgrade					Legendary
Spirit of Rebellion	49	Hero	Rogue	Lone Operative	Upgrade					Rare
Spirit of Rebellion	50	Hero	Rogue	Maz's Goggles	Upgrade					Legendary
Spirit of Rebellion	51	Neutral	Command	Supply Line	Support					Rare
Spirit of Rebellion	52	Neutral	Command	Astromech	Support					Rare
Spirit of Rebellion	53	Neutral	Command	Rocket Launcher	Upgrade					Legendary
Spirit of Rebellion	54	Neutral	Force	Force Push	Upgrade					Rare
Spirit of Rebellion	55	Neutral	Force	Force Speed	Upgrade					Legendary
Spirit of Rebellion	56	Neutral	Force	Makashi Training	Upgrade					Rare
Spirit of Rebellion	57	Neutral	General	Vibroknife	Upgrade					Rare
Spirit of Rebellion	58	Neutral	Rogue	Quadjumper	Support					Legendary
Spirit of Rebellion	59	Neutral	Rogue	Ascension Gun	Upgrade					Rare
Spirit of Rebellion	60	Neutral	Rogue	Con Artist	Upgrade					Rare
Spirit of Rebellion	61	Villain	Command	Battle Formation	Event					Common
Spirit of Rebellion	62	Villain	Command	Imperial War Machine	Event					Uncommon
Spirit of Rebellion	63	Villain	Command	Lockdown	Event					Common
Spirit of Rebellion	64	Villain	Command	Sustained Fire	Event					Uncommon
Spirit of Rebellion	65	Villain	Command	Traitor!	Event					Uncommon
Spirit of Rebellion	66	Villain	Command	Trench Warfare	Event					Common
Spirit of Rebellion	67	Villain	Command	Undying Loyalty	Event					Common
Spirit of Rebellion	68	Villain	Command	We Have Them Now	Event					Uncommon
Spirit of Rebellion	69	Villain	Command	Attrition	Support					Common
Spirit of Rebellion	70	Villain	Command	Imperial Inspection	Support					Uncommon
Spirit of Rebellion	71	Villain	Force	Anger	Event					Uncommon
Spirit of Rebellion	72	Villain	Force	Lightsaber Throw	Event					Uncommon
Spirit of Rebellion	73	Villain	Force	Manipulate	Event					Common
Spirit of Rebellion	74	Villain	Force	No Disintegrations	Event					Common
Spirit of Rebellion	75	Villain	Force	Now You Will Die	Event					Common
Spirit of Rebellion	76	Villain	Force	Rise Again	Event					Uncommon
Spirit of Rebellion	77	Villain	Force	The Price of Failure	Event					Common
Spirit of Rebellion	78	Villain	Force	Dark Presence	Support					Uncommon
Spirit of Rebellion	79	Villain	Force	Now I Am The Master	Upgrade					Common
Spirit of Rebellion	80	Villain	General	Doubt	Event					Common
Spirit of Rebellion	81	Villain	Rogue	Arms Deal	Event					Common
Spirit of Rebellion	82	Villain	Rogue	Bait and Switch	Event					Common
Spirit of Rebellion	83	Villain	Rogue	Friends in High Places	Event					Uncommon
Spirit of Rebellion	84	Villain	Rogue	Loose Ends	Event					Uncommon
Spirit of Rebellion	85	Villain	Rogue	One-Quarter Portion	Event					Common
Spirit of Rebellion	86	Villain	Rogue	Relentless Pursuit	Event					Common
Spirit of Rebellion	87	Villain	Rogue	Scrap Buy	Event					Uncommon
Spirit of Rebellion	88	Villain	Rogue	Salvage Stand	Support					Common
Spirit of Rebellion	89	Villain	Rogue	Armor Plating	Upgrade					Uncommon
Spirit of Rebellion	90	Hero	Command	Emergency Evacuation	Event					Uncommon
Spirit of Rebellion	91	Hero	Command	Friendly Fire	Event					Uncommon
Spirit of Rebellion	92	Hero	Command	Guerrilla Warfare	Event					Common
Spirit of Rebellion	93	Hero	Command	Our Only Hope	Event					Uncommon
Spirit of Rebellion	94	Hero	Command	Rebel Assault	Event					Common
Spirit of Rebellion	95	Hero	Command	Sensor Placement	Event					Uncommon
Spirit of Rebellion	96	Hero	Command	Spirit of Rebellion	Event					Common
Spirit of Rebellion	97	Hero	Command	Planetary Uprising	Support					Uncommon
Spirit of Rebellion	98	Hero	Command	Spy Net	Support					Common
Spirit of Rebellion	99	Hero	Command	Tactical Aptitude	Upgrade					Common
Spirit of Rebellion	100	Hero	Force	Caution	Event					Uncommon
Spirit of Rebellion	101	Hero	Force	Destiny	Event					Common
Spirit of Rebellion	102	Hero	Force	Determination	Event					Common
Spirit of Rebellion	103	Hero	Force	Guard	Event					Uncommon
Spirit of Rebellion	104	Hero	Force	Krayt Dragon Howl	Event					Common
Spirit of Rebellion	105	Hero	Force	My Ally Is The Force	Event					Uncommon
Spirit of Rebellion	106	Hero	Force	Synchronicity	Event					Common
Spirit of Rebellion	107	Hero	Force	Your Eyes Can Deceive You	Support					Uncommon
Spirit of Rebellion	108	Hero	Force	Protective Mentor	Upgrade					Common
Spirit of Rebellion	109	Hero	General	Confidence	Event					Common
Spirit of Rebellion	110	Hero	Rogue	Garbage'll Do	Event					Common
Spirit of Rebellion	111	Hero	Rogue	Hold On!	Event					Common
Spirit of Rebellion	112	Hero	Rogue	Rebel	Event					Uncommon
Spirit of Rebellion	113	Hero	Rogue	Long Con	Event					Common
Spirit of Rebellion	114	Hero	Rogue	Loth-Cat and Mouse	Event					Common
Spirit of Rebellion	115	Hero	Rogue	Never Tell Me The Odds	Event					Uncommon
Spirit of Rebellion	116	Hero	Rogue	Planned Explosion	Event					Uncommon
Spirit of Rebellion	117	Hero	Rogue	Double-Dealing	Support					Common
Spirit of Rebellion	118	Hero	Rogue	Life Debt	Upgrade					Uncommon
Spirit of Rebellion	119	Neutral	Command	Bombing Run	Event					Uncommon
Spirit of Rebellion	120	Neutral	Command	Collateral Damage	Event					Common
Spirit of Rebellion	121	Neutral	Command	Salvo	Event					Uncommon
Spirit of Rebellion	122	Neutral	Command	Suppression	Event					Common
Spirit of Rebellion	123	Neutral	Command	Aftermath	Support					Common
Spirit of Rebellion	124	Neutral	Command	Air Superiority	Support					Common
